scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
dropout_0.10,-11.04445214213642,,,,0.01511501425979483,mlp_coordinate,clean_train,0.12510051656094798,0.17386784988225562,11.04445214213642,15.32131560910799
dropout_0.15,-11.711172493241872,,,,0.01650778910700101,mlp_coordinate,clean_train,0.13305361430753987,0.1817018904651424,11.711172493241872,16.072340221099424
dropout_0.20,-12.613492115010626,,,,0.019566615146495114,mlp_coordinate,clean_train,0.14225448436571686,0.19782121002429925,12.613492115010626,17.613014664946537
dropout_0.25,-13.45797417778359,,,,0.02231206441789356,mlp_coordinate,clean_train,0.15215007515981985,0.21124424295197905,13.45797417778359,18.6949736993121
dropout_0.30,-14.00998525978253,,,,0.023668614458410082,mlp_coordinate,clean_train,0.15672694673530504,0.21757119914991635,14.00998525978253,19.487665188848933
dropout_0.35,-16.393095003393512,,,,0.03563747576812599,mlp_coordinate,clean_train,0.18436606741924427,0.26697368563684243,16.393095003393512,23.888735076348034
dropout_0.40,-18.97648213250428,,,,0.04571585172098248,mlp_coordinate,clean_train,0.2116218992562731,0.3023767582365612,18.97648213250428,27.26008683492935
dropout_0.45,-22.98640928461534,,,,0.06686368704673731,mlp_coordinate,clean_train,0.2531441031376145,0.36568752866983195,22.98640928461534,33.739981421922856
dropout_0.50,-26.902486935898033,,,,0.09035496598798665,mlp_coordinate,clean_train,0.29367087182496454,0.42509990402727615,26.902486935898033,39.73279162740147
dropout_0.60,-34.73924204301036,,,,0.13959535524503913,mlp_coordinate,clean_train,0.3697594458707151,0.5283849961877034,34.73924204301036,50.229779930658665
drop0.25_bias3_noise1,-12.925198130912184,,,,0.019112206309778963,mlp_coordinate,clean_train,0.14535548264731005,0.19551064913509497,12.925198130912184,17.440488046101365
drop0.35_bias4_noise2,-16.022914603610754,,,,0.03300342994845203,mlp_coordinate,clean_train,0.18111206750785486,0.2569180018623037,16.022914603610754,23.07774710079311
drop0.40_bias5_noise3,-18.139228977714893,,,,0.041402989393225884,mlp_coordinate,clean_train,0.20064258495181747,0.2877602809747656,18.139228977714893,26.77537753894034
drop0.15_bias6_noise0,-11.147690145300803,,,,0.014309419352564589,mlp_coordinate,clean_train,0.12583707502215025,0.16917103347086015,11.147690145300803,14.971706499735632
bias5_only,-9.593499022480685,,,,0.010673465441516747,mlp_coordinate,clean_train,0.10832801854145262,0.14610588855520337,9.593499022480685,12.941854470374446
noise3_only,-9.721495538381255,,,,0.011032724729131381,mlp_coordinate,clean_train,0.1096819177950355,0.14854443676426096,9.721495538381255,13.147453520203703
