scenario,model,score_clean_train,score_aug_train,delta_score
dropout_0.45,cnn_coordinate,-135.78439842575804,-91.66250884020968,44.12188958554836
dropout_0.50,cnn_coordinate,-140.80918876504882,-96.5663475208856,44.242841244163216
dropout_0.60,cnn_coordinate,-148.9974822943712,-109.18260528198165,39.814877012389545
drop0.25_bias3_noise1,cnn_coordinate,-90.60918866410529,-63.06978776375765,27.539400900347637
drop0.35_bias4_noise2,cnn_coordinate,-113.51096956263277,-76.18128470130736,37.329684861325404
drop0.40_bias5_noise3,cnn_coordinate,-120.41829511468084,-81.5475020064218,38.87079310825905
drop0.15_bias6_noise0,cnn_coordinate,-68.80035987519436,-52.58718463371031,16.213175241484052
bias5_only,cnn_coordinate,-42.36609794198289,-43.83281097562386,-1.4667130336409642
noise3_only,cnn_coordinate,-44.12041054755376,-47.05728949740026,-2.936878949846502
clean,lstm_joint,0.9468947052955627,0.9549955129623413,0.008100807666778564
dropout_0.05,lstm_joint,0.9315931797027588,0.9558956027030945,0.024302423000335693
dropout_0.10,lstm_joint,0.9081908464431763,0.9486948847770691,0.04050403833389282
dropout_0.15,lstm_joint,0.8937894105911255,0.9486948847770691,0.054905474185943604
dropout_0.20,lstm_joint,0.8901890516281128,0.9414941668510437,0.05130511522293091
dropout_0.25,lstm_joint,0.8685868978500366,0.9396939873695374,0.07110708951950073
dropout_0.30,lstm_joint,0.8388839364051819,0.9306930899620056,0.09180915355682373
dropout_0.35,lstm_joint,0.8109810948371887,0.9099910259246826,0.0990099310874939
dropout_0.40,lstm_joint,0.7947794795036316,0.8919892311096191,0.09720975160598755
dropout_0.45,lstm_joint,0.7722772359848022,0.8784878849983215,0.10621064901351929
dropout_0.50,lstm_joint,0.7677767872810364,0.8640864491462708,0.09630966186523438
dropout_0.60,lstm_joint,0.6840684413909912,0.7929793000221252,0.10891085863113403
drop0.25_bias3_noise1,lstm_joint,0.8784878849983215,0.9315931797027588,0.053105294704437256
drop0.35_bias4_noise2,lstm_joint,0.834383487701416,0.9144914746284485,0.08010798692703247
drop0.40_bias5_noise3,lstm_joint,0.7902790307998657,0.8955895900726318,0.10531055927276611
drop0.15_bias6_noise0,lstm_joint,0.911791205406189,0.9450945258140564,0.03330332040786743
bias5_only,lstm_joint,0.94329434633255,0.9540954232215881,0.010801076889038086
noise3_only,lstm_joint,0.937893807888031,0.9513951539993286,0.013501346111297607
clean,lstm_multitask,0.954995499549955,0.9531953195319532,-0.0018001800180017513
dropout_0.05,lstm_multitask,0.9387938793879388,0.9522952295229523,0.013501350135013523
dropout_0.10,lstm_multitask,0.918991899189919,0.9387938793879388,0.01980198019801982
dropout_0.15,lstm_multitask,0.8883888388838884,0.9360936093609361,0.04770477047704769
dropout_0.20,lstm_multitask,0.8847884788478848,0.9306930693069307,0.045904590459045935
dropout_0.25,lstm_multitask,0.8541854185418541,0.9306930693069307,0.0765076507650766
dropout_0.30,lstm_multitask,0.8316831683168316,0.90999099909991,0.07830783078307835
