scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
dropout_0.40,0.5706570657065707,0.5706570657065707,0.7848784923553467,0.6327632665634155,1.992638465523398,cnn_multitask,aug_train,,,,
dropout_0.45,0.5184518451845185,0.5184518451845185,0.7578758001327515,0.6048604846000671,2.1179797765266564,cnn_multitask,aug_train,,,,
dropout_0.50,0.48694869486948694,0.48694869486948694,0.7272727489471436,0.5706570744514465,2.371278014728124,cnn_multitask,aug_train,,,,
dropout_0.60,0.36543654365436545,0.36543654365436545,0.635463535785675,0.4752475321292877,2.7399446689578246,cnn_multitask,aug_train,,,,
drop0.25_bias3_noise1,0.7191719171917191,0.7191719171917191,0.8883888721466064,0.7578758001327515,1.2261367689694078,cnn_multitask,aug_train,,,,
drop0.35_bias4_noise2,0.648964896489649,0.648964896489649,0.8334833979606628,0.7128713130950928,1.6269994232699636,cnn_multitask,aug_train,,,,
drop0.40_bias5_noise3,0.5688568856885688,0.5688568856885688,0.7911791205406189,0.6444644331932068,1.9859649268063633,cnn_multitask,aug_train,,,,
drop0.15_bias6_noise0,0.774977497749775,0.774977497749775,0.9405940771102905,0.8046804666519165,0.9399900740057794,cnn_multitask,aug_train,,,,
bias5_only,0.8370837083708371,0.8370837083708371,0.9594959616661072,0.8595860004425049,0.7862554013890044,cnn_multitask,aug_train,,,,
noise3_only,0.8271827182718272,0.8271827182718272,0.953195333480835,0.8460846543312073,0.8603809813354383,cnn_multitask,aug_train,,,,
clean,-44.18220480308251,,,,0.20796704887807316,cnn_coordinate,aug_train,0.4566539861072931,0.6449295230813034,44.18220480308251,62.98281771276332
dropout_0.05,-47.24080389360697,,,,0.2341957774439124,cnn_coordinate,aug_train,0.4871304158567141,0.6843913895357133,47.24080389360697,67.25384410984776
dropout_0.10,-49.689001123690375,,,,0.2558185417409634,cnn_coordinate,aug_train,0.5140447538046636,0.7152881107160839,49.689001123690375,69.71662177060297
dropout_0.15,-55.80856333199895,,,,0.32390860605626143,cnn_coordinate,aug_train,0.5790935387872017,0.8048709184750361,55.80856333199895,78.18696189603376
dropout_0.20,-59.368048610408785,,,,0.34336521832606043,cnn_coordinate,aug_train,0.6150347866457456,0.8286920224560271,59.368048610408785,80.64673846124954
dropout_0.25,-63.276254534459554,,,,0.3980918606050802,cnn_coordinate,aug_train,0.6524149943257228,0.8922912628582431,63.276254534459554,86.88498391329848
dropout_0.30,-65.80591482347315,,,,0.4094857096028264,cnn_coordinate,aug_train,0.680556153180832,0.9049703911227605,65.80591482347315,88.22568619911199
dropout_0.35,-75.64906951279212,,,,0.5194857872144045,cnn_coordinate,aug_train,0.7822453617759844,1.0192995537404244,75.64906951279212,98.96378218748731
dropout_0.40,-83.81996128172835,,,,0.6239359496843697,cnn_coordinate,aug_train,0.8614225928260796,1.117081859469932,83.81996128172835,109.16709199350751
dropout_0.45,-91.66250884020968,,,,0.7062096284596797,cnn_coordinate,aug_train,0.9419600408882323,1.1884524250909176,91.66250884020968,116.84238802779214
dropout_0.50,-96.5663475208856,,,,0.7552181788117471,cnn_coordinate,aug_train,0.9887327021203609,1.228998119436201,96.5663475208856,120.8431548718117
dropout_0.60,-109.18260528198165,,,,0.8968558588294056,cnn_coordinate,aug_train,1.1141753105282612,1.3392952115899528,109.18260528198165,131.98131207011542
drop0.25_bias3_noise1,-63.06978776375765,,,,0.3828886663666939,cnn_coordinate,aug_train,0.652247205458185,0.8750870475192557,63.06978776375765,85.28934667099534
drop0.35_bias4_noise2,-76.18128470130736,,,,0.5404490235686624,cnn_coordinate,aug_train,0.7897536751734161,1.0396624708095472,76.18128470130736,101.3765596575605
drop0.40_bias5_noise3,-81.5475020064218,,,,0.5794861624092803,cnn_coordinate,aug_train,0.8370288098881418,1.0765557686775584,81.5475020064218,106.02588541371883
drop0.15_bias6_noise0,-52.58718463371031,,,,0.2830433831034642,cnn_coordinate,aug_train,0.547831859464972,0.7523873699345163,52.58718463371031,72.9694991757496
bias5_only,-43.83281097562386,,,,0.20743859356099908,cnn_coordinate,aug_train,0.45466829608144094,0.6441096230808452,43.83281097562386,62.727409886249305
noise3_only,-47.05728949740026,,,,0.22336741372553964,cnn_coordinate,aug_train,0.4821871300304825,0.6683822517101188,47.05728949740026,65.7888588037087
clean,0.9549955129623413,0.9549955129623413,0.9990999102592468,0.9549955129623413,0.2293444461215197,lstm_joint,aug_train,,,,
dropout_0.05,0.9558956027030945,0.9558956027030945,0.9990999102592468,0.9558956027030945,0.2212673967937217,lstm_joint,aug_train,,,,
dropout_0.10,0.9486948847770691,0.9486948847770691,1.0,0.9486948847770691,0.2668176650142584,lstm_joint,aug_train,,,,
dropout_0.15,0.9486948847770691,0.9486948847770691,1.0,0.9486948847770691,0.2713910160195602,lstm_joint,aug_train,,,,
dropout_0.20,0.9414941668510437,0.9414941668510437,0.9981998205184937,0.9414941668510437,0.2634847741020788,lstm_joint,aug_train,,,,
dropout_0.25,0.9396939873695374,0.9396939873695374,1.0,0.9396939873695374,0.27549612798420403,lstm_joint,aug_train,,,,
dropout_0.30,0.9306930899620056,0.9306930899620056,0.9981998205184937,0.9306930899620056,0.3157583418512645,lstm_joint,aug_train,,,,
dropout_0.35,0.9099910259246826,0.9099910259246826,0.9972997307777405,0.9099910259246826,0.3728709399807464,lstm_joint,aug_train,,,,
dropout_0.40,0.8919892311096191,0.8919892311096191,0.9972997307777405,0.8919892311096191,0.40748215859050047,lstm_joint,aug_train,,,,
dropout_0.45,0.8784878849983215,0.8784878849983215,0.9936993718147278,0.8793879747390747,0.4533575626775877,lstm_joint,aug_train,,,,
dropout_0.50,0.8640864491462708,0.8640864491462708,0.9918991923332214,0.8640864491462708,0.5210151328469697,lstm_joint,aug_train,,,,
dropout_0.60,0.7929793000221252,0.7929793000221252,0.9882988333702087,0.7938793897628784,0.7617077225505715,lstm_joint,aug_train,,,,
drop0.25_bias3_noise1,0.9315931797027588,0.9315931797027588,1.0,0.9315931797027588,0.27709307794523713,lstm_joint,aug_train,,,,
