scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
dropout_0.30,0.8388839364051819,0.8388839364051819,0.9828982949256897,0.8487849235534668,0.8487714824109974,lstm_joint,clean_train,,,,
dropout_0.35,0.8109810948371887,0.8109810948371887,0.984698474407196,0.8181818127632141,1.0607387162242035,lstm_joint,clean_train,,,,
dropout_0.40,0.7947794795036316,0.7947794795036316,0.9765976667404175,0.8064806461334229,1.169896183734966,lstm_joint,clean_train,,,,
dropout_0.45,0.7722772359848022,0.7722772359848022,0.9729973077774048,0.7875787615776062,1.3146610945650954,lstm_joint,clean_train,,,,
dropout_0.50,0.7677767872810364,0.7677767872810364,0.9630963206291199,0.7821782231330872,1.4430496297796818,lstm_joint,clean_train,,,,
dropout_0.60,0.6840684413909912,0.6840684413909912,0.9486948847770691,0.6993699669837952,1.95830285645733,lstm_joint,clean_train,,,,
drop0.25_bias3_noise1,0.8784878849983215,0.8784878849983215,0.9900990128517151,0.8847885131835938,0.6193550208149248,lstm_joint,clean_train,,,,
drop0.35_bias4_noise2,0.834383487701416,0.834383487701416,0.9774977564811707,0.8451845645904541,0.9616905026721267,lstm_joint,clean_train,,,,
drop0.40_bias5_noise3,0.7902790307998657,0.7902790307998657,0.9801980257034302,0.7974797487258911,1.1726754976220222,lstm_joint,clean_train,,,,
drop0.15_bias6_noise0,0.911791205406189,0.911791205406189,0.9900990128517151,0.917191743850708,0.4723138328772424,lstm_joint,clean_train,,,,
bias5_only,0.94329434633255,0.94329434633255,0.9909991025924683,0.9504950642585754,0.3023742797753491,lstm_joint,clean_train,,,,
noise3_only,0.937893807888031,0.937893807888031,0.9864986538887024,0.9468947052955627,0.3101219117748748,lstm_joint,clean_train,,,,
clean,0.954995499549955,0.954995499549955,0.9918991923332214,0.9603960514068604,0.30248482967957413,lstm_multitask,clean_train,,,,
dropout_0.05,0.9387938793879388,0.9387938793879388,0.9909991025924683,0.9441944360733032,0.417144610927944,lstm_multitask,clean_train,,,,
dropout_0.10,0.918991899189919,0.918991899189919,0.9927992820739746,0.9234923720359802,0.560030017936691,lstm_multitask,clean_train,,,,
dropout_0.15,0.8883888388838884,0.8883888388838884,0.9900990128517151,0.8937894105911255,0.6720686749656601,lstm_multitask,clean_train,,,,
dropout_0.20,0.8847884788478848,0.8847884788478848,0.9882988333702087,0.8883888721466064,0.7724291353103387,lstm_multitask,clean_train,,,,
