regime,scenario,model_label,model_family,model,task,metric,metric_value,source_file
aug_train,dropout_0.25,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,14.757856173499903,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.885168262926733,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,64.78833109424983,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,11.511947070671532,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,9.730952329677201,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,15.273089004187007,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,10.322060389186474,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,74.4792753854325,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,12.710822335842987,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,10.65646879205788,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,15.859350678810689,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,10.643999259149677,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,82.52373411471426,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,12.719670552208616,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,11.114932841650493,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,16.430103455460472,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,11.00693525905626,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,90.24500026522028,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,13.824544848532138,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,12.396593642794517,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,17.342279660704193,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,12.11647707606191,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,95.07294728934238,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,14.834355848450418,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,13.851295348374524,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,18.041022137048248,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.17396951604385,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,107.49403606367767,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,16.268478642908477,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,17.246527257003955,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,19.996955760752556,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.682637517584777,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,46.32955352291011,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,10.640897313841442,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.646187367725155,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.608396686892966,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.140849726643506,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,CNN,cnn,cnn_joint,joint,joint_accuracy,0.8361836671829224,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.954095423221588,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,MLP,mlp,mlp_joint,joint,joint_accuracy,0.9315931797027588,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9495949745178224,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.937893807888031,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,CNN,cnn,cnn_joint,joint,joint_accuracy,0.8532853722572327,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9549955129623412,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,MLP,mlp,mlp_joint,joint,joint_accuracy,0.921692192554474,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9495949745178224,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9459946155548096,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,CNN,cnn,cnn_joint,joint,joint_accuracy,0.7875787615776062,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9450945258140564,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,MLP,mlp,mlp_joint,joint,joint_accuracy,0.917191743850708,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9270927309989928,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9261926412582396,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.25_bias3_noise1,CNN,cnn,cnn_joint,joint,joint_accuracy,0.7110711336135864,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.25_bias3_noise1,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9315931797027588,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.25_bias3_noise1,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8955895900726318,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.25_bias3_noise1,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9189919233322144,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.25_bias3_noise1,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.921692192554474,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.35_bias4_noise2,CNN,cnn,cnn_joint,joint,joint_accuracy,0.6336633563041687,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.35_bias4_noise2,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9144914746284484,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.35_bias4_noise2,MLP,mlp,mlp_joint,joint,joint_accuracy,0.875787615776062,results_aug.csv|table_robustness_stability_long.csv
