scenario,model,score_clean_train,score_aug_train,delta_score
noise3_only,set_transformer_multitask,0.9288929104804993,0.9135913848876953,-0.015301525592803955
clean,transformer_coordinate,-9.958617652989021,-11.016824560183153,-1.0582069071941316
dropout_0.05,transformer_coordinate,-10.34752148368636,-11.002102180394381,-0.6545806967080203
dropout_0.10,transformer_coordinate,-10.577498590844732,-11.191436705639067,-0.613938114794335
dropout_0.15,transformer_coordinate,-11.074147515791472,-11.397937890281824,-0.3237903744903523
dropout_0.20,transformer_coordinate,-11.3355623218752,-11.71016983246488,-0.37460751058968
dropout_0.25,transformer_coordinate,-11.56442645378741,-12.122560485120832,-0.558134031333422
dropout_0.30,transformer_coordinate,-11.992927684073157,-12.081514020157163,-0.08858633608400623
dropout_0.35,transformer_coordinate,-13.078333716338474,-12.414668686961404,0.6636650293770696
dropout_0.40,transformer_coordinate,-14.162821034902343,-13.109398564862142,1.0534224700402017
dropout_0.45,transformer_coordinate,-15.372709612002692,-13.538605969172313,1.8341036428303799
dropout_0.50,transformer_coordinate,-16.917449091640563,-14.747723225778392,2.169725865862171
dropout_0.60,transformer_coordinate,-20.106163991926408,-16.804554539013846,3.3016094529125617
drop0.25_bias3_noise1,transformer_coordinate,-11.883178139486924,-11.540837202451565,0.3423409370353596
drop0.35_bias4_noise2,transformer_coordinate,-12.608199453589036,-12.372737148912417,0.23546230467661822
drop0.40_bias5_noise3,transformer_coordinate,-13.841856386048747,-12.904435201349486,0.9374211846992608
drop0.15_bias6_noise0,transformer_coordinate,-11.11291879998544,-11.219902166337542,-0.10698336635210204
bias5_only,transformer_coordinate,-10.566551774014846,-10.923235437889899,-0.356683663875053
noise3_only,transformer_coordinate,-10.208977423045546,-11.221203837514437,-1.0122264144688913
clean,transformer_joint,0.9468947052955627,0.9495949745178223,0.0027002692222595215
dropout_0.05,transformer_joint,0.9369937181472778,0.9504950642585754,0.013501346111297607
dropout_0.10,transformer_joint,0.9261926412582397,0.937893807888031,0.01170116662979126
dropout_0.15,transformer_joint,0.9144914746284485,0.9315931797027588,0.017101705074310303
dropout_0.20,transformer_joint,0.9072907567024231,0.932493269443512,0.025202512741088867
dropout_0.25,transformer_joint,0.9000900387763977,0.9288929104804993,0.028802871704101562
dropout_0.30,transformer_joint,0.8892889618873596,0.9126912951469421,0.02340233325958252
dropout_0.35,transformer_joint,0.84968501329422,0.896489679813385,0.04680466651916504
dropout_0.40,transformer_joint,0.8559856414794922,0.8712871670722961,0.015301525592803955
dropout_0.45,transformer_joint,0.82268226146698,0.8595860004425049,0.0369037389755249
dropout_0.50,transformer_joint,0.7983798384666443,0.8523852825164795,0.054005444049835205
dropout_0.60,transformer_joint,0.7290729284286499,0.7830783128738403,0.05400538444519043
drop0.25_bias3_noise1,transformer_joint,0.9045904874801636,0.9261926412582397,0.021602153778076172
drop0.35_bias4_noise2,transformer_joint,0.875787615776062,0.9072907567024231,0.031503140926361084
drop0.40_bias5_noise3,transformer_joint,0.8325833082199097,0.8892889618873596,0.05670565366744995
drop0.15_bias6_noise0,transformer_joint,0.9207921028137207,0.9414941668510437,0.020702064037322998
bias5_only,transformer_joint,0.9369937181472778,0.953195333480835,0.01620161533355713
noise3_only,transformer_joint,0.9405940771102905,0.9423942565917969,0.0018001794815063477
clean,transformer_multitask,0.9486948847770691,0.9540954232215881,0.005400538444519043
dropout_0.05,transformer_multitask,0.94329434633255,0.9513951539993286,0.008100807666778564
dropout_0.10,transformer_multitask,0.9369937181472778,0.9441944360733032,0.007200717926025391
dropout_0.15,transformer_multitask,0.9243924617767334,0.9414941668510437,0.017101705074310303
dropout_0.20,transformer_multitask,0.9207921028137207,0.9369937181472778,0.01620161533355713
dropout_0.25,transformer_multitask,0.9108911156654358,0.9216921925544739,0.010801076889038086
dropout_0.30,transformer_multitask,0.9108911156654358,0.9189919233322144,0.008100807666778564
dropout_0.35,transformer_multitask,0.8658866286277771,0.8928893208503723,0.027002692222595215
dropout_0.40,transformer_multitask,0.8514851927757263,0.8865886926651001,0.03510349988937378
dropout_0.45,transformer_multitask,0.834383487701416,0.881188154220581,0.04680466651916504
dropout_0.50,transformer_multitask,0.8082808256149292,0.8631863594055176,0.05490553379058838
dropout_0.60,transformer_multitask,0.7434743642807007,0.7839784026145935,0.04050403833389282
drop0.25_bias3_noise1,transformer_multitask,0.9144914746284485,0.937893807888031,0.02340233325958252
drop0.35_bias4_noise2,transformer_multitask,0.875787615776062,0.9036903977394104,0.02790278196334839
drop0.40_bias5_noise3,transformer_multitask,0.8532853722572327,0.8982898592948914,0.04500448703765869
drop0.15_bias6_noise0,transformer_multitask,0.9315931797027588,0.94329434633255,0.01170116662979126
bias5_only,transformer_multitask,0.9423942565917969,0.9513951539993286,0.009000897407531738
noise3_only,transformer_multitask,0.9369937181472778,0.9486948847770691,0.01170116662979126
